logId,dateOfSleep,startTime,endTime,duration
41306599163,2023-05-12,2023-05-11T23:56:00.000,2023-05-12T08:22:30.000,30360000
41295603194,2023-05-11,2023-05-10T23:16:00.000,2023-05-11T08:43:30.000,34020000
41285407478,2023-05-10,2023-05-09T23:20:30.000,2023-05-10T08:19:00.000,32280000
41268851559,2023-05-09,2023-05-08T23:17:00.000,2023-05-09T08:42:30.000,33900000
41252651503,2023-05-08,2023-05-07T23:45:00.000,2023-05-08T08:26:30.000,31260000
41240859602,2023-05-07,2023-05-07T00:38:30.000,2023-05-07T08:22:00.000,27780000
41231949732,2023-05-06,2023-05-06T15:49:30.000,2023-05-06T17:52:30.000,7380000
41229254023,2023-05-06,2023-05-06T00:32:00.000,2023-05-06T09:57:30.000,33900000
41219904640,2023-05-05,2023-05-05T14:46:30.000,2023-05-05T17:41:30.000,10500000
41217392715,2023-05-05,2023-05-04T23:53:00.000,2023-05-05T08:09:30.000,29760000
41205996240,2023-05-04,2023-05-04T00:50:30.000,2023-05-04T08:28:30.000,27480000
41193981397,2023-05-03,2023-05-02T23:23:30.000,2023-05-03T09:19:00.000,35700000
41176959555,2023-05-02,2023-05-01T23:41:00.000,2023-05-02T08:02:30.000,30060000
41164779282,2023-05-01,2023-05-01T00:43:00.000,2023-05-01T10:50:30.000,36420000
41154571258,2023-04-30,2023-04-30T01:26:00.000,2023-04-30T10:36:30.000,33000000
41141697716,2023-04-29,2023-04-29T00:22:30.000,2023-04-29T10:43:30.000,37260000
41130877877,2023-04-28,2023-04-28T00:28:00.000,2023-04-28T09:37:30.000,32940000
41117734889,2023-04-27,2023-04-26T23:53:00.000,2023-04-27T11:20:00.000,41220000
41107052320,2023-04-26,2023-04-25T23:03:00.000,2023-04-26T10:08:30.000,39900000
41092438618,2023-04-25,2023-04-25T00:19:00.000,2023-04-25T09:18:30.000,32340000
41079547377,2023-04-24,2023-04-24T09:59:30.000,2023-04-24T13:39:30.000,13200000
41071501476,2023-04-24,2023-04-23T21:23:30.000,2023-04-24T05:49:00.000,30300000
41066880524,2023-04-23,2023-04-22T23:43:00.000,2023-04-23T10:02:30.000,37140000
41053938447,2023-04-22,2023-04-21T23:48:00.000,2023-04-22T09:53:00.000,36300000
41043576116,2023-04-21,2023-04-21T00:26:00.000,2023-04-21T09:43:30.000,33420000
41031140407,2023-04-20,2023-04-19T23:54:00.000,2023-04-20T09:49:00.000,35700000
41023915068,2023-04-19,2023-04-19T17:49:30.000,2023-04-19T18:50:30.000,3660000
41018375073,2023-04-19,2023-04-18T23:38:30.000,2023-04-19T08:41:30.000,32580000
41746388268,2023-06-18,2023-06-17T21:47:30.000,2023-06-18T09:53:30.000,43560000
41736198748,2023-06-17,2023-06-17T01:54:00.000,2023-06-17T07:09:00.000,18900000
41723882517,2023-06-16,2023-06-16T00:06:00.000,2023-06-16T09:19:30.000,33180000
41719163294,2023-06-15,2023-06-15T15:41:00.000,2023-06-15T17:28:30.000,6420000
41714293408,2023-06-15,2023-06-14T22:57:00.000,2023-06-15T08:43:00.000,35160000
41704552889,2023-06-14,2023-06-14T07:18:30.000,2023-06-14T10:37:30.000,11940000
41701361846,2023-06-14,2023-06-13T23:32:00.000,2023-06-14T05:26:30.000,21240000
41690625868,2023-06-13,2023-06-12T23:37:30.000,2023-06-13T08:54:30.000,33420000
41680986951,2023-06-12,2023-06-12T08:12:00.000,2023-06-12T11:10:30.000,10680000
41675892455,2023-06-12,2023-06-12T00:08:30.000,2023-06-12T06:42:00.000,23580000
41667959426,2023-06-11,2023-06-11T08:27:00.000,2023-06-11T11:33:00.000,11160000
41664377570,2023-06-11,2023-06-10T23:42:30.000,2023-06-11T07:24:00.000,27660000
41656508962,2023-06-10,2023-06-10T00:10:00.000,2023-06-10T10:47:30.000,38220000
41643710978,2023-06-09,2023-06-09T09:06:30.000,2023-06-09T10:56:00.000,6540000
41641791655,2023-06-09,2023-06-09T00:07:30.000,2023-06-09T06:44:00.000,23760000
41632541646,2023-06-08,2023-06-08T00:11:00.000,2023-06-08T08:41:00.000,30600000
41620474045,2023-06-07,2023-06-07T00:43:30.000,2023-06-07T09:25:00.000,31260000
41611784780,2023-06-06,2023-06-06T14:31:00.000,2023-06-06T17:39:00.000,11280000
41608801684,2023-06-06,2023-06-05T23:35:00.000,2023-06-06T08:50:30.000,33300000
41597454214,2023-06-05,2023-06-05T01:11:00.000,2023-06-05T09:49:30.000,31080000
41583552659,2023-06-04,2023-06-04T00:45:30.000,2023-06-04T08:04:30.000,26340000
41572636636,2023-06-03,2023-06-02T23:36:00.000,2023-06-03T07:55:00.000,29940000
41564441818,2023-06-02,2023-06-02T13:02:30.000,2023-06-02T15:52:30.000,10200000
41561136962,2023-06-02,2023-06-01T23:31:00.000,2023-06-02T08:58:30.000,34020000
41552892318,2023-06-01,2023-05-31T23:05:00.000,2023-06-01T09:34:30.000,37740000
41544109553,2023-05-31,2023-05-31T16:51:00.000,2023-05-31T18:40:30.000,6540000
41527769960,2023-05-30,2023-05-29T23:19:30.000,2023-05-30T10:13:30.000,39240000
41517501161,2023-05-29,2023-05-29T08:01:00.000,2023-05-29T11:12:30.000,11460000
41512263292,2023-05-29,2023-05-28T23:36:00.000,2023-05-29T06:47:00.000,25860000
41501811807,2023-05-28,2023-05-28T00:01:30.000,2023-05-28T07:42:30.000,27660000
41491466398,2023-05-27,2023-05-26T22:36:00.000,2023-05-27T07:36:00.000,32400000
41481893051,2023-05-26,2023-05-25T23:56:30.000,2023-05-26T08:42:00.000,31500000
41467141769,2023-05-25,2023-05-24T23:41:30.000,2023-05-25T07:50:30.000,29340000
41456976383,2023-05-24,2023-05-23T22:31:00.000,2023-05-24T08:40:30.000,36540000
41442916712,2023-05-23,2023-05-22T23:26:00.000,2023-05-23T06:18:30.000,24720000
41434024042,2023-05-22,2023-05-21T23:43:30.000,2023-05-22T09:42:30.000,35940000
41415073310,2023-05-21,2023-05-21T00:24:00.000,2023-05-21T08:15:30.000,28260000
41408989290,2023-05-20,2023-05-20T00:43:00.000,2023-05-20T08:20:00.000,27420000
41402392061,2023-05-19,2023-05-19T15:54:00.000,2023-05-19T17:44:30.000,6600000
41398005330,2023-05-19,2023-05-18T23:20:30.000,2023-05-19T08:18:30.000,32280000
42102662290,2023-07-18,2023-07-17T22:41:00.000,2023-07-18T08:23:00.000,34920000
42088033099,2023-07-17,2023-07-16T23:21:30.000,2023-07-17T07:45:30.000,30240000
42075468849,2023-07-16,2023-07-15T22:32:30.000,2023-07-16T06:50:30.000,29880000
42065240952,2023-07-15,2023-07-14T23:09:00.000,2023-07-15T09:09:00.000,36000000
42053944200,2023-07-14,2023-07-13T23:40:00.000,2023-07-14T07:48:30.000,29280000
42043502872,2023-07-13,2023-07-13T15:59:30.000,2023-07-13T17:02:30.000,3780000
42041039290,2023-07-13,2023-07-12T22:31:30.000,2023-07-13T07:31:30.000,32400000
42027763781,2023-07-12,2023-07-11T23:53:00.000,2023-07-12T09:43:30.000,35400000
42017514408,2023-07-11,2023-07-11T15:28:30.000,2023-07-11T17:49:00.000,8400000
42013493940,2023-07-11,2023-07-10T23:28:30.000,2023-07-11T07:25:00.000,28560000
42004024788,2023-07-10,2023-07-09T23:51:00.000,2023-07-10T09:18:30.000,34020000
41992627830,2023-07-09,2023-07-09T00:08:30.000,2023-07-09T09:45:30.000,34620000
41979807074,2023-07-08,2023-07-07T23:51:00.000,2023-07-08T10:36:30.000,38700000
41969495026,2023-07-07,2023-07-07T00:24:30.000,2023-07-07T09:18:30.000,32040000
41959693138,2023-07-06,2023-07-05T23:11:00.000,2023-07-06T10:03:30.000,39120000
41950191056,2023-07-05,2023-07-05T17:13:00.000,2023-07-05T19:02:30.000,6540000
41945554467,2023-07-05,2023-07-05T00:15:00.000,2023-07-05T08:47:30.000,30720000
41934547346,2023-07-04,2023-07-03T23:13:00.000,2023-07-04T09:57:30.000,38640000
41925404719,2023-07-03,2023-07-03T14:31:00.000,2023-07-03T17:12:00.000,9660000
41921143451,2023-07-03,2023-07-03T00:20:00.000,2023-07-03T09:28:30.000,32880000
41910512696,2023-07-02,2023-07-01T22:29:30.000,2023-07-02T07:51:30.000,33720000
41896257947,2023-07-01,2023-06-30T22:54:30.000,2023-07-01T09:02:00.000,36420000
41889004147,2023-06-30,2023-06-29T23:51:00.000,2023-06-30T09:09:30.000,33480000
41879195982,2023-06-29,2023-06-28T23:50:30.000,2023-06-29T09:26:30.000,34560000
